district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
naagour,A111_A111137,137med഼athaa,medathaasitee,medathaasitee,medathaa
suajhhunoo,A025_A025062,mathadaan kendr kaa bhavan evam pathaa  :,vidyaa vihaar pilaanee,vidyaa vihaar pilaanee,NA
raajasamand,A175_A175062,62saamgath kalaam,saamgath kalaam,saamgath kalaam,saamgath kalaam
bheelavaadaa,A181_A181088,88koodalaaee,koodalaaee,koodalaaee,koodalaaee
chiththoudagadh,A168_A168165,165baamanahedaa,baamanahaidaa,baamanahaidaa,baamanahedaa
naagour,A113_A113109,109pattee doobariyaa,itaavaa baamarniyaa,itaavaa baamarniyaa,pattee doobariyaa
jayapur,A045_A045156,156ganesapuraa,ganesapuraa,ganesapuraa,ganesapuraa
jaalour,A142_A142033,33bhundavaa,Bhundwa,bhundwa,bhundavaa
paalee,A116_A116102,102devariyaa,devariyaa,devariyaa,devariyaa
udayapur,A150_A150138,138dhi൦amad഼ee,dhi൦amad഼ee,dhiamadee,dhiamadee
baaraa,A196_A196162,mathadaan kendr kaa bhavan evam pathaa  :,chhabadaa,chhabadaa,NA
udayapur,A153_A153125,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
jaalour,A143_A143005,5soobadaavaas,०Sobrawas,sobrawas,soobadaavaas
hanumaanagadh,A009_A009015,15amarasimhavaalaa,amarasimhavaalaa,amarasimhavaalaa,amarasimhavaalaa
jayapur,A042_A042167,167faarer,bidaaraa,bidaaraa,faarer
ajamer,A098_A098199,199tikaavadaa,tikaavadaa,tikaavadaa,tikaavadaa
h jaalour,A142_A142247,247bhaagalee sindhalaan,Bhagli Sindhlan,bhagli sindhlan,bhaagalee sindhalaan
bharathapur,A071_A071070,70bhaavalee,Bhavli,bhavli,bhaavalee
udayapur,A152_A152246,246goojyaa,goojyaa,goojyaa,goojyaa
8baadamer,A137_A137230,230raniyaa deseepuraa,Raniya Desipura,raniya desipura,raniyaa deseepuraa
toumk,A094_A094271,271bootoondaa,bootoondaa,bootoondaa,bootoondaa
seekar,A038_A038235,235thikariyaa,०theekariyaa,theekariyaa,thikariyaa
alavar,A062_A062102,102maajareekalaam,maajaree kalaa,maajaree kalaa,maajareekalaam
gamgaanagar,A001_A001061,mathadaan kendr kaa bhavan evam pathaa  :,15F Il BARA,15f il bara,NA
udayapur,A156_A156290,290dagaar,dagaar,dagaar,dagaar
joodhapur,A130_A130144,144sivagaamv,०sivagaav,sivagaav,sivagaamv
udayapur,A153_A153064,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
baadamer,A137_A137114,114baalootharaa,०baalootharaa,baalootharaa,baalootharaa
8jaisalamer,A133_A133246,246phaajaloonee mureed,phaajaloonee mureed,phaajaloonee mureed,phaajaloonee mureed
jaalour,A145_A145008,8naagoolad഼ee,Nagolri,nagolri,naagooladee
suajhhunoo,A031_A031120,120khethad഼ee,khethadee,khethadee,khethadee
suajhhunoo,A027_A027133,133joodiyaa,jood഼iyaa,joodiyaa,joodiyaa
naagour,A113_A113242,242joosaree,joosaree,joosaree,joosaree
joodhapur,A130_A130235,235paal,paal,paal,paal
udayapur,A153_A153102,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
toumk,A097_A097090,90nayaagaamv goothadaa,०nayaagaav goothadaa,nayaagaav goothadaa,nayaagaamv goothadaa
bharathapur,A074_A074251,251kunder,Kunder,kunder,kunder
hi suajhhun,A028_A028203,203vaahidapuraa,vaahidapuraa,vaahidapuraa,vaahidapuraa
seekar,A036_A036155,155geeloom kee dhaanee,geeloom kee dhaanee,geeloom kee dhaanee,geeloom dhaanee
ajamer,A104_A104272,272paad഼aliyaa,paadaliyaa (bhinaay,paadaliyaa bhinaay,paadaliyaa
paalee,A120_A120140,140sreeselaa,sree selaa,sree selaa,sreeselaa
qe,A021_A021190,190dhaanee paamcheraa,dhaanee paamcheraa,dhaanee paamcheraa,dhaanee paamcheraa
suajhhunoo,A025_A025005,5mandrelaa,mandrelaa,mandrelaa,mandrelaa
bharathapur,A075_A075010,10naivaadee,nevaadee,nevaadee,naivaadee
jayapur,A040_A040170,170pavaanaa aheer,pavaanaa aheer,pavaanaa aheer,pavaanaa aheer
naagour,A114_A114138,138meethad഼ee,meethadee,meethadee,meethadee
hi suajhhun,A030_A030234,234pachalamgee,०pachalamgee,pachalamgee,pachalamgee
bheelavaadaa,A181_A181005,5vijayapur,vijayapur,vijayapur,vijayapur
8jaalour,A143_A143106,106banu kee dhaanee,Vanu Ki Dhani,vanu ki dhani,banu dhaanee
chiththoudagadh,A168_A168267,267raavathabhaataa,०raavathabhaataa,raavathabhaataa,raavathabhaataa
baaraa,A196_A196174,174GaST,chhabadaa,chhabadaa,gast
udayapur,A151_A151090,90khootavaadaa,khootavaadaa,khootavaadaa,khootavaadaa
seekar,A039_A039098,98deraavaalee,deraavaalee,deraavaalee,deraavaalee
naagour,A114_A114127,127saragooth,saragooth,saragooth,saragooth
ajamer,A098_A098241,241bhagavanthapuraa,bhagavanthapuraa,bhagavanthapuraa,bhagavanthapuraa
jaalour,A144_A144300,300WaTTTAT,Pratapgarh,pratapgarh,watttat
jayapur,A041_A041117,117baadee joodee,baadeejoodee,baadeejoodee,baadee joodee
jayapur,A043_A043196,mathadaan kendr kaa bhavan evam pathaa  :,choumoom,choumoom,NA
ajamer,A098_A098117,117Fears),kisanagadh (n.parishad,kisanagadh nparishad,fears
booadee,A186_A186043,43boondee,boomdee,boomdee,boondee
hi suajhhun,A029_A029033,33kaseroo,०kaseroo,kaseroo,kaseroo
suajhhun,A025_A025208,208bigoodanaa,bigoodanaa,bigoodanaa,bigoodanaa
suajhhunoo,A028_A028091,91beedaasar,beedaasar,beedaasar,beedaasar
h dousaa,A086_A086205,205ond meenaa,:,NA,205ond meenaa
beekaaner,A014_A014131,131beekaaner,beekaaner,beekaaner,beekaaner
karoulee,A081_A081099,99badaletaa bujurg,badaletaa bujurg,badaletaa bujurg,badaletaa bujurg
jaalour,A142_A142188,188theekhee,Teekhi,teekhi,theekhee
udayapur,A153_A153050,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
baadamer,A137_A137107,107baalootharaa,०baalootharaa,baalootharaa,baalootharaa
bharathapur,A071_A071002,2daayanaa baas,Bas Dayana,bas dayana,daayanaa baas
seekar,A036_A036173,173ATT,०baay,baay,173att
savaaeemaadhoopur,A090_A090076,76udeee kalaa,udeikalaam,udeikalaam,udeee kalaa
gamgaanagar,A005_A005202,202 1bee el em,1BLM,1blm,bee el em
joodhapur,A131_A131126,126thilavaasanee,:,NA,thilavaasanee
seekar,A039_A039001,1kachamnapur,kamchanapur,kamchanapur,kachamnapur
jhhaalaavaad,A198_A198070,70jhhaalaraapaatan,jhhaalaraapaatan,jhhaalaraapaatan,jhhaalaraapaatan
qe,A023_A023071,71rathanagadh,rathanagadh഼,rathanagadh,rathanagadh
suajhhunoo,A025_A025190,190chid഼aavaa,chid഼aavaa,chidaavaa,chidaavaa
bheelavaadaa,A181_A181146,146badesaraa,badesaraa,badesaraa,badesaraa
beekaaner,A017_A017077,77sreedoomgaragadh,sree doomgaragadh഼,sree doomgaragadh,sreedoomgaragadh
qe,A021_A021079,79seegadee,sigad഼ee,sigadee,seegadee
alavar,A059_A059179,179thijaaraa,thijaaraa,thijaaraa,thijaaraa
naagour,A113_A113117,117itaavaa laakhaa,itaavaa laakhaa,itaavaa laakhaa,itaavaa laakhaa
gamgaanagar,A006_A006030,30anoopagadh഼,anoopagadh഼,anoopagadh,anoopagadh
alavar,A059_A059015,15bhivaad഼ee,bhivaadee,bhivaadee,bhivaadee
joodhapur,A122_A122008,8saamvaraa gaaഁav,०saamvaraa gaaഁav,saamvaraa gaaav,saamvaraa gaaav
qe,A024_A024082,82dhooraa kee dhaanee,dhooraa kee dhaanee,dhooraa kee dhaanee,dhooraa dhaanee
naagour,A113_A113086,86jasavanthapuraa,jasavanthapuraa,jasavanthapuraa,jasavanthapuraa
jaalour,A142_A142063,63pooshaanaa,Posana,posana,pooshaanaa
suajhhun,A027_A027165,mathadaan kendr kaa bhavan evam pathaa  :,islaamapur,islaamapur,NA
hanumaanagadh,A008_A008017,mathadaan kendr kaa bhavan evam pathaa  :,11 01.7?(dhooleepaal,dhooleepaal,NA
hi suajhhun,A030_A030200,200mandaavaraa,०mandaavaraa,mandaavaraa,mandaavaraa
gamgaanagar,A001_A001054,54 9kyoo,90,NA,kyoo
baamsavaadaa,A164_A164176,176phephar,PHEPHAR,phephar,phephar
doomgarapur,A158_A158157,157doomgarapur,dooഁagarapur,dooagarapur,doomgarapur
qe,A021_A021185,185khejadaa dikhanaadaa,khejad഼aa dikhanaadaa,khejadaa dikhanaadaa,khejadaa dikhanaadaa
gamgaanagar,A003_A003137,137gajasimhapur krishn mamndir ke paas,gajasimhapur,gajasimhapur,gajasimhapur krishn mamndir
alavar,A059_A059159,159bhoojaavaas,bhoojaavaas,bhoojaavaas,bhoojaavaas
h baadamer,A136_A136205,205leelaalaa,leelaalaa,leelaalaa,leelaalaa
suajhhun,A028_A028232,232chatharapuraa,chatharapuraa,chatharapuraa,chatharapuraa
udayapur,A156_A156245,245tharood഼aa,tharoodaa,tharoodaa,tharoodaa
jaalour,A142_A142235,mathadaan kendr kaa bhavan evam pathaa  :,jaaloor,jaaloor,NA
alavar,A059_A059180,180thijaaraa,thijaaraa,thijaaraa,thijaaraa
४paalee,A117_A117175,175Areva,gaamv chandaaval,gaamv chandaaval,areva
ajamer,A105_A105159,159boogalaa,boogalaa,boogalaa,boogalaa
udayapur,A155_A155076,76gupad഼ee,gupad഼ee,gupadee,gupadee
hanumaanagadh,A009_A009160,160thaakaruvaalaa,:,NA,thaakaruvaalaa
udayapur,A155_A155109,109ear,:,NA,109ear
8savaaeemaadhoopur,A091_A091208,208naaroolee choud഼,Naroli Chaur,naroli chaur,naaroolee choud
jaalour,A143_A143098,98vaadaa bhaadavee,Vada Bharvi,vada bharvi,vaadaa bhaadavee
jayapur,A042_A042172,mathadaan kendr kaa bhavan evam pathaa  :,saahapuraa,saahapuraa,NA
h paalee,A117_A117223,mathadaan kendr kaa bhavan evam pathaa  :,jhhoothaa,jhhoothaa,NA
h baaraa,A193_A193061,61maamgarool,maamgarool,maamgarool,maamgarool
paalee,A116_A116226,226reladaa,Relra,relra,reladaa
suajhhunoo,A025_A025063,mathadaan kendr kaa bhavan evam pathaa  :,vidyaa vihaar pilaanee,vidyaa vihaar pilaanee,NA
suajhhun,A027_A027038,38AAT,jhhujhhanoom,jhhujhhanoom,38aat
jaalour,A144_A144102,102kaachhelaa,Kachhela,kachhela,kaachhelaa
joodhapur,A131_A131080,80bagad഼akee,:,NA,bagadakee
alavar,A059_A059136,136bichhaalaa,bichhaalaa,bichhaalaa,bichhaalaa
qe,A021_A021023,23bheeyaasar,bheeyaasar,bheeyaasar,bheeyaasar
bharathapur,A071_A071026,26belaa,Bela,bela,belaa
beekaaner,A017_A017096,96sreedoomgaragadh,sree doomgaragadh഼,sree doomgaragadh,sreedoomgaragadh
hi suajhhun,A028_A028226,226ranajeethapuraa,gaamv  ०ranajeethapuraa,gaamv ranajeethapuraa,ranajeethapuraa
h dousaa,A086_A086026,26jhhooഁathaahed഼aa khurd,jhhoothaahedaa khurd,jhhoothaahedaa khurd,jhhooathaahedaa khurd
jaalour,A143_A143068,68kaaletee,Kaleti,kaleti,kaaletee
toumk,A094_A094218,218kootadee,kootad഼ee,kootadee,kootadee
gamgaanagar,A003_A003036,36 25WT,25ech,25ech,NA
jayapur,A044_A044039,39avast |e,baasadee khurd,baasadee khurd,avast
chiththoudagadh,A168_A168276,276raavathabhaataa,०raavathabhaataa,raavathabhaataa,raavathabhaataa
jaalour,A144_A144290,290laachhadee,Lachhri,lachhri,laachhadee
naagour,A107_A107121,121peed഼avaa,pidavaa,pidavaa,peedavaa
qe,A022_A022218,218baalaraasar thamvaraan,:,NA,baalaraasar thamvaraan
ajamer,A100_A100116,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
suajhhun,A029_A029054,54dudaanaa kaa baas,doodaanaa kaa baas,doodaanaa kaa baas,dudaanaa baas
alavar,A062_A062211,211fea,dhees,dhees,211fea
naagour,A115_A115194,194raajaas,raajaas,raajaas,raajaas
jaisalamer,A132_A132298,298saamvathaa,saamvathaa,saamvathaa,saamvathaa
udayapur,A149_A149133,133paamchaavathoo kee bhaagal,paamchaavathoom kee bhaagal,paamchaavathoom kee bhaagal,paamchaavathoo bhaagal
udayapur,A153_A153101,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
gamgaanagar,A001_A001082,8210UT UT,101,NA,8210ut ut
hi suajhhun,A029_A029255,255chiraanaa,chiraanaa,chiraanaa,chiraanaa
gamgaanagar,A003_A003193,193 6sx Ft Hersh,6aarabee,aarabee,sx ft hersh
ajamer,A098_A098085,85madanagamj,kisanagadh (n.parishad,kisanagadh nparishad,madanagamj
udayapur,A157_A157028,28arefisita,kaalee bheeth,kaalee bheeth,arefisita
jayapur,A045_A045180,180ATT,jhhaag,jhhaag,180att
toumk,A095_A095154,154pahaad഼ee,:,NA,pahaadee
alavar,A059_A059173,173thijaaraa,thijaaraa,thijaaraa,thijaaraa
udayapur,A152_A152104,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
h dousaa,A086_A086024,24baalaahed഼aa,baalaahedaa,baalaahedaa,baalaahedaa
savaaeemaadhoopur,A090_A090075,75udeee kalaa,udeikalaam,udeikalaam,udeee kalaa
gamgaanagar,A005_A005248,248 48jee bee e,48GB-A,48gba,jee bee
jayapur,A045_A045237,237lasaad഼iyaa,lasaadiyaa,lasaadiyaa,lasaadiyaa
kootaa,A192_A192173,173saathalakhedee,०saathalakhedee,saathalakhedee,saathalakhedee
gamgaanagar,A005_A005218,218 1e pee dee,1APD,1apd,e pee dee
naagour,A106_A106184,184ambaapaa,ambaapaa,ambaapaa,ambaapaa
naagour,A110_A110212,212kucheraa,kucheraa,kucheraa,kucheraa
naagour,A106_A106007,7laadanoom,ast,ast,laadanoom
ajamer,A105_A105143,143kekad഼ee,kekadee,kekadee,kekadee
qe,A019_A019090,90UTS,raajagadh഼,raajagadh,90uts
qe,A023_A023001,1laachhad഼asar,laachhadasar,laachhadasar,laachhadasar
alavar,A068_A068060,60raajagadh,raajagadh഼,raajagadh,raajagadh
ajamer,A105_A105163,163mevadaakalaam,०mevadaa kalaam,mevadaa kalaam,mevadaakalaam
ajamer,A098_A098046,46saavamthasar,kisanagadh (n.parishad,kisanagadh nparishad,saavamthasar
8gamgaanagar,A006_A006019,19 1e-e,e,NA,NA
beekaaner,A015_A015238,238desanook,desanook,desanook,desanook
seekar,A034_A034136,"maadhyamik vidhaalay, harsh (daayaam bhaag",ay,NA,vidhaalay harsh daayaam
bheelavaadaa,A182_A182006,6ooamchaa,uamchaa,uamchaa,ooamchaa
chooru,A021_A021130,130saradaarasahar,saradaarasahar,saradaarasahar,saradaarasahar
naagour,A113_A113003,3Erefsoar,khaaradi0൦ayaa,khaaradi ayaa,erefsoar
dousaa,A089_A089130,130nirsaranaa,nirsaranaa,nirsaranaa,nirsaranaa
booadee,A186_A186244,244FATSST,bhoomaakhedaa,bhoomaakhedaa,fatsst
baadamer,A137_A137082,82baalootharaa,baalootharaa,baalootharaa,baalootharaa
gamgaanagar,A004_A004104,104soorathagadh,soorathagadh഼,soorathagadh,soorathagadh
joodhapur,A122_A122141,141rad഼akaa beraa,radakaa puraa,radakaa puraa,radakaa beraa
dousaa,A088_A088171,171lavaan,lavaan,lavaan,lavaan
qe,A022_A022103,mathadaan kendr kaa bhavan evam pathaa  :,chooru,chooru,NA
hi joodhapur,A123_A123078,78kooloo raathoudaa,Kolu Rathoron,kolu rathoron,kooloo raathoudaa
jaalour,A145_A145155,155joodavaas,Jorwas,jorwas,joodavaas
seekar,A037_A037015,15Hlest luhaaravaas,kootadee luhaaravaas,kootadee luhaaravaas,hlest luhaaravaas
seekar,A033_A033101,mathadaan kendr kaa bhavan evam pathaa  :,naroodadaa,naroodadaa,NA
jhhaalaavaad,A197_A197057,mathadaan kendr kaa bhavan evam pathaa  :,bhavaaneemandee,bhavaaneemandee,NA
ajamer,A100_A100074,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
ajamer,A105_A105052,52saathoolaav,saathoolaav,saathoolaav,saathoolaav
prathaapagadh,A172_A172117,117bilad഼ee,biladee,biladee,biladee
alavar,A060_A060188,188kisanagadh baas,kisanagadhabaas,kisanagadhabaas,kisanagadh baas
ajamer,A102_A102155,155Aug,aug,aug,155aug
bheelavaadaa,A182_A182078,78dhood,dhood഼,dhood,dhood
hi suajhhun,A030_A030015,15bhaateevaad഼,bhaateevaad,bhaateevaad,bhaateevaad
suajhhunoo,A030_A030214,214khouh,khouh,khouh,khouh
joodhapur,A131_A131145,145peepaad sahar,pipaad sahar,pipaad sahar,peepaad sahar
suajhhun,A031_A031188,"188rasoolapur,",rasoolapur,rasoolapur,rasoolapur
karoulee,A083_A083120,120choor khid഼akiyaa karoulee,karoulee,karoulee,choor khidakiyaa karoulee
alavar,A062_A062153,153gaadooj,gaadooj,gaadooj,gaadooj
gamgaanagar,A003_A003113,113 58eph,58eph,58eph,eph
gamgaanagar,A006_A006138,138 2Wadtare,2esateeaar,esateeaar,wadtare
suajhhunoo,A025_A025124,124haripuraa,haripuraa,haripuraa,haripuraa
naagour,A113_A113179,179puroohithoo kee dhaanee (joosariyaa,puroohithoom kee dhaanee,puroohithoom kee dhaanee,puroohithoo dhaanee joosariyaa
toumk,A097_A097140,140dhuvaamkalaa,dhumaa kalaa,dhumaa kalaa,dhuvaamkalaa
jaalour,A142_A142141,141noon,Noon,noon,noon
h seekar,A032_A032069,69sekheesar,sekheesar,sekheesar,sekheesar
bharathapur,A072_A072070,70gharavaaree,Badangarh,badangarh,gharavaaree
h seekar,A039_A039216,216maanagadh഼,maanagadh,maanagadh,maanagadh
aad,A031_A031096,mathadaan kendr kaa bhavan evam pathaa  :,daadaa phathehapuraa,daadaa phathehapuraa,NA
paalee,A117_A117227,mathadaan kendr kaa bhavan evam pathaa  :,raayapur,raayapur,NA
bheelavaadaa,A181_A181244,244ganapathiyaa khedaa,ganapathiyaa khedaa,ganapathiyaa khedaa,ganapathiyaa khedaa
naagour,A115_A115119,119kuchaaman sitee,kuchaaman sitee,kuchaaman sitee,kuchaaman sitee
naagour,A107_A107234,234dhanakoolee,dhanakoulee,dhanakoulee,dhanakoolee
baadamer,A138_A138014,14kamathaaee,PASTS,pasts,kamathaaee
ajamer,A105_A105190,mathadaan kendr kaa bhavan evam pathaa  :,praamhed഼aa,praamhedaa,NA
udayapur,A153_A153191,191bhattiyaanee choottaa udayapur,udayapur,udayapur,bhattiyaanee choottaa udayapur
४bharathapur,A076_A076072,72bayaanaa,bayaanaa,bayaanaa,bayaanaa
alavar,A062_A062069,mathadaan kendr kaa bhavan evam pathaa  :,doomaroolee,doomaroolee,NA
jaalour,A145_A145035,35timtoop,Teetop,teetop,timtoop
joodhapur,A123_A123002,2khedaa baagoodiyaa,gaamv  ०khed഼aa bagoodiyaa,gaamv khedaa bagoodiyaa,khedaa baagoodiyaa
jayapur,A044_A044091,91mamdhaa bheemasimh,madaa bheemasimh,madaa bheemasimh,mamdhaa bheemasimh
gamgaanagar,A005_A005058,58bisanapuraa  (30pee es e,30PS-A,30psa,bisanapuraa pee es
h seekar,A035_A035022,22lakshmanaa kaa baas,lakshmanaa kaa baas,lakshmanaa kaa baas,lakshmanaa baas
raajasamand,A176_A176034,34baamanahedaa (daamyaa bhaag,baamanahedaa,baamanahedaa,baamanahedaa daamyaa
ajamer,A098_A098089,89madanagamj,kisanagadh (n.parishad,kisanagadh nparishad,madanagamj
paalee,A116_A116225,225reladaa,Relra,relra,reladaa
ajamer,A102_A102181,181dilavaad഼ee,dilavaad഼ee,dilavaadee,dilavaadee
ajamer,A099_A099172,172ganaahedaa,ganaahedaa,ganaahedaa,ganaahedaa
gamgaanagar,A003_A003022,22kesareesimhapur,०kesareesimhapur,kesareesimhapur,kesareesimhapur
hi suajhhun,A026_A026071,71pichaanavaasee,०pichaanavaasee,pichaanavaasee,pichaanavaasee
alavar,A059_A059009,9AATATT,bhivaadee,bhivaadee,aatatt
jhhaalaavaad,A200_A200192,192GST,khejadaa,khejadaa,192gst
dousaa,A088_A088138,138dousaa,dousaa,dousaa,dousaa
qe,A024_A024193,193sujaanagadh,sujaanagadh഼,sujaanagadh,sujaanagadh
hanumaanagadh,A009_A009167,167 18esapee൦adee൦,18es pee dee,18es pee dee,esapeeadee
suajhhunoo,A031_A031136,136WALTTT,jasaraapur,jasaraapur,walttt
suajhhun,A030_A030095,95toodee,toodee,toodee,toodee
toumk,A097_A097043,43devalee,devalee nagarapaalikaa,devalee nagarapaalikaa,devalee
gamgaanagar,A001_A001175,mathadaan kendr kaa bhavan evam pathaa  :,8LLG (Lalgarh),8llg lalgarh,NA
baamsavaadaa,A164_A164094,94baamsavaadaa,baamsavaad഼aa,baamsavaadaa,baamsavaadaa
suajhhun,A027_A027009,9jhhunjhhunoo,jhhujhhanoom,jhhujhhanoom,jhhunjhhunoo
ajamer,A098_A098176,176bhaamvasaa,bhaamvasaa,bhaamvasaa,bhaamvasaa
hi jayapur,A045_A045223,223ghatiyaalee,gaamv  ०ghatiyaalee,gaamv ghatiyaalee,ghatiyaalee
hanumaanagadh,A010_A010011,11poohadakaa,poohadakaa,poohadakaa,poohadakaa
karoulee,A081_A081095,95naamgal sairapur,naamgal serapur,naamgal serapur,naamgal sairapur
baaraa,A196_A196158,mathadaan kendr kaa bhavan evam pathaa  :,chhabadaa,chhabadaa,NA
8jaalour,A142_A142006,6lumbaa kee dhaanee,Lumba Ki Dhani,lumba ki dhani,lumbaa dhaanee
udayapur,A157_A157137,137devagaav,Deo-Gaon,deogaon,devagaav
suajhhunoo,A025_A025146,146goovindapuraa,goovindapuraa,goovindapuraa,goovindapuraa
raajasamand,A173_A173180,180vijayapuraa,vijayapuraa,vijayapuraa,vijayapuraa
suajhhunoo,A029_A029206,mathadaan kendr kaa bhavan evam pathaa  :,०basaavaa,basaavaa,NA
bheelavaadaa,A183_A183044,44gegaakaakhedaa,gegaa kaa khed഼aa,gegaa kaa khedaa,gegaakaakhedaa
seekar,A032_A032133,mathadaan kendr kaa bhavan evam pathaa  :,phathehapur,phathehapur,NA
suajhhunoo,A031_A031145,145ASTS,gaamv badaau,gaamv badaau,asts
hanumaanagadh,A009_A009183,183bhaakharaamvaalaa,bhaakharaavaalee,bhaakharaavaalee,bhaakharaamvaalaa
savaaeemaadhoopur,A090_A090170,170choolee,gaamv choolee (graameen,gaamv choolee graameen,choolee
hanumaanagadh,A009_A009090,90dulamaanaa  (7pee bee en,dulamaanaa,dulamaanaa,dulamaanaa pee bee en
savaaeemaadhoopur,A090_A090195,195khudasyaa,Khudsya,khudsya,khudasyaa
raajasamand,A175_A175024,24kelavaa,०kelavaa,kelavaa,kelavaa
baadamer,A136_A136083,mathadaan kendr kaa bhavan evam pathaa  :,naagaanaa thalaa,naagaanaa thalaa,NA
hi suajhhun,A029_A029252,252chiraanaa,chiraanaa,chiraanaa,chiraanaa
raajasamand,A173_A173217,217paamthaa kee aaamthee,०paamthaa kee aaamthee,paamthaa kee aaamthee,paamthaa aaamthee
bheelavaadaa,A181_A181262,262naee raajyaas,naee raajyaas,naee raajyaas,naee raajyaas
raajasamand,A176_A176022,22sisoodaa khurd,sisoodaa khurd,sisoodaa khurd,sisoodaa khurd
jaalour,A142_A142050,50roohinavaadaa,Rohinwara,rohinwara,roohinavaadaa
kootaa,A187_A187189,189bad഼ood,8100,NA,badood
jayapur,A045_A045263,263moohanapuraa raajaavathaan,moohanapuraa raajaavathaan,moohanapuraa raajaavathaan,moohanapuraa raajaavathaan
baamsavaadaa,A164_A164088,88baamsavaadaa,baamsavaad഼aa,baamsavaadaa,baamsavaadaa
savaaeemaadhoopur,A090_A090134,134gamgaapur kachaharee rood഼,gamgaapur sitee,gamgaapur sitee,gamgaapur kachaharee rood
udayapur,A150_A150158,158goodaavaadaa,goodaavaadaa,goodaavaadaa,goodaavaadaa
hanumaanagadh,A007_A007103,103khaaraa khed഼aa,1seedeeaar (khaaraakhed഼aa,seedeeaar khaaraakhedaa,khaaraa khedaa
bharathapur,A071_A071085,85jhheetharedee,Jheetredi,jheetredi,jhheetharedee
bheelavaadaa,A181_A181201,201THGHSST,bachchhakhedaa,bachchhakhedaa,thghsst
alavar,A060_A060119,mathadaan kendr kaa bhavan evam pathaa  :,Girwas,girwas,NA
udayapur,A149_A149188,188choor baavadee,choor vaavadee,choor vaavadee,choor baavadee
gamgaanagar,A003_A003021,21Helaax,०kesareesimhapur,kesareesimhapur,helaax
naagour,A108_A108042,42jaanevaa paschim,jaanevaa paschim,jaanevaa paschim,jaanevaa paschim
suajhhun,A027_A027056,56jhhunjhhunoo,jhhujhhanoom,jhhujhhanoom,jhhunjhhunoo
udayapur,A153_A153171,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
baamsavaadaa,A163_A163243,243koohaalaa,:,NA,koohaalaa
seekar,A036_A036148,148khaatoosyaamajee,khaatoo syaam,khaatoo syaam,khaatoosyaamajee
udayapur,A156_A156255,255dhaarood,dhaarood,dhaarood,dhaarood
naagour,A113_A113037,37raayathaliyaa,०raayathaliyaa,raayathaliyaa,raayathaliyaa
alavar,A067_A067037,37nougaavaam,Naugawan,naugawan,nougaavaam
baadamer,A138_A138012,12Waret Arasit,०evaadee maanajee,evaadee maanajee,waret arasit
baadamer,A136_A136289,289paatoudee,paatoudee,paatoudee,paatoudee
baadamer,A136_A136073,73syaamapuraa,syaamapuraa,syaamapuraa,syaamapuraa
gamgaanagar,A003_A003182,18214FEU,14eeeee,eeeee,18214feu
hanumaanagadh,A007_A007132,132kulachandr,7seedeeaar (kulachandr,seedeeaar kulachandr,kulachandr
jaisalamer,A133_A133188,188raathadiyaa  |,raathadiyaa,raathadiyaa,raathadiyaa
alavar,A068_A068065,65UMTS,raajagadh഼,raajagadh,umts
dhoulapur,A078_A078190,190gumat baadee,baadee,baadee,gumat baadee
baamsavaadaa,A164_A164081,mathadaan kendr kaa bhavan evam pathaa  :,baamsavaad഼aa,baamsavaadaa,NA
baadamer,A136_A136287,287ikad഼aanee,ikad഼aanee,ikadaanee,ikadaanee
gamgaanagar,A003_A003115,115 1ephaeph e,० 1ephaephae,ephaephae,ephaeph
hi suajhhun,A026_A026063,63chourood഼ee agunee,chouraadee,chouraadee,chouroodee agunee
bharathapur,A075_A075169,mathadaan kendr kaa bhavan evam pathaa  :,bhusaavar,bhusaavar,NA
alavar,A063_A063164,164bilaath,Beelath,beelath,bilaath
booadee,A184_A184104,104nainavaam,०nenavaam,nenavaam,nainavaam
udayapur,A157_A157068,68valiyaa khedaa,valiyaa khedaa,valiyaa khedaa,valiyaa khedaa
udayapur,A153_A153086,86yoonivarsitee rood udayapur,udayapur,udayapur,yoonivarsitee rood udayapur
ajamer,A100_A100018,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
ajamer,A100_A100081,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
toumk,A094_A094246,246toodaaraayasimh,toodaaraayasimh,toodaaraayasimh,toodaaraayasimh
h baadamer,A138_A138110,110bhaagavaa,bhaagavaa,bhaagavaa,bhaagavaa
seekar,A038_A038051,51dalapathapuraa,dalapathapuraa,dalapathapuraa,dalapathapuraa
