district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
balaraamapur,AC293_S24A293P470, 470praa0apaa൦ laalapur bhaluhiyaa d൦ bhaag ,laalapur bhaluhiyaa ,laalapur bhaluhiyaa,praa0apaa laalapur bhaluhiyaa d bhaag
sraavasthee,AC290_S24A290P385, 385semaree tharahar ,semareetharahar ,semareetharahar,semaree tharahar
aagaraa,AC094_S24A094P166, 166praa0avi0 bichoolaa k0anam0-₹ ,bichoulaa ,bichoulaa,praa0avi0 bichoolaa k0anam0rs
aajamagadh,AC350_S24A350P291, 291u0apr0avi0 phareedaabaad ,phareedaabaad ,phareedaabaad,u0apr0avi0 phareedaabaad
baaraabamkee,AC268_S24A268P110, 110praa0avi0 taaeekalaa u0abhaag ,teraakaloom ,teraakaloom,praa0avi0 taaeekalaa u0abhaag
mathuraa,AC081_S24A081P091, 91praa0aevi0 hathaanaa k0 n0  ९,hathaanaa ,hathaanaa,praa0aevi0 hathaanaa k0 n0
kheeree,AC140_S24A140P025, 25bhavadooraa ,Hal ,hal,bhavadooraa
baaraabamkee,AC266_S24A266P146, 146praa0 vi0 rasoolapanaah athirikth kaksh sam0  १,rasoolapanaah ,rasoolapanaah,praa0 vi0 rasoolapanaah athirikth sam0
jhhaamsee,AC222_S24A222P328, 328kaint skool babeenaa bhaag-1 ,babeenaa ,babeenaa,kaint skool babeenaa bhaag1
phaijaabaad,AC275_S24A275P016, 16raajakeey baalikaa intar kaalej phaijaabaad dakshinee madhy ,phaijaabaad ,phaijaabaad,raajakeey baalikaa intar kaalej phaijaabaad dakshinee madhy
badaayoom,AC112_S24A112P301, 301naagapur noorapur praa vi k nam.-൧ poorvee bhaag ,naagapur noorapur ,naagapur noorapur,naagapur noorapur praa vi nam poorvee bhaag
vaaraanasee,AC388_S24A388P107, 107baal nikethan seeniyar sekendaree skool khajuree kaksh sam0  8,vaaraanasee ,vaaraanasee,baal nikethan seeniyar sekendaree skool khajuree sam0
baamdaa,AC233_S24A233P288, 288poo0amaa0avi0 amalooharaa kaksh sam0-1 ,amalooharaa ,amalooharaa,poo0amaa0avi0 amalooharaa sam01
balaraamapur,AC294_S24A294P224, 224praa0 paa0 laalaajooth k0 n0  २,laalaajooth ,laalaajooth,praa0 paa0 laalaajooth k0 n0
mirjaapur,AC397_S24A397P152, 152praa0 vi0 sandavaa ,sandavaa ,sandavaa,praa0 vi0 sandavaa
goorakhapur,AC321_S24A321P157, 157 3030kaa0 p0 imaarath u0 baalaapaar HO nam0  2,baalaapaar ,baalaapaar,3030kaa0 p0 imaarath u0 baalaapaar ho nam0
mujaphpharanagar,AC011_S24A011P080, 80kanyaa joo0ahaa0 skool budhaanaa k0an0  1,budhaanaa ,budhaanaa,kanyaa joo0ahaa0 skool budhaanaa k0an0
sahaaranapur,AC004_S24A004P192," 192praathamik vidyaalay kamaraa nambar  -१,dathooleemugal ",dathoulee mugal ,dathoulee mugal,praathamik vidyaalay kamaraa nambar dathooleemugal
aagaraa,AC094_S24A094P083, 83praa0avi0 suthaaharee k0anam0-൧ ,suthaaharee ,suthaaharee,praa0avi0 suthaaharee k0anam0
