district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
itaavaa, 152janathaa vi0 pharrookhaabaad rood itaavaa kaksh  1,itaavaa ,itaavaa,janathaa vi pharrookhaabaad rood itaavaa,janathaa vi pharookhaabaad rood itaavaa
baaraabamkee, 427praa0avi0 saraay൑amihee kaksh sam0  1,saraayamihee ,saraayamihee,praa avi saraayamihee sam,praa avi saraayammihee
auraiyaa, 110praa0avi0 purvaa paakar ,pharihaa ,pharihaa,praa avi purvaa paakar,praa avi purvaa paakar
goorakhapur, 341praa0 vi0 babhanoulee ,kood഼ar paandey ,koodar paandey,praa vi babhanoulee,praa vi babhanoulee
amethee, 143praa൦apaa൦ kooyalaaraa mubaarakapur kaksh sam൦  ३,kooyalaaraa mubaarakapur ,kooyalaaraa mubaarakapur,praaapaa kooyalaaraa mubaarakapur sam,praanpaa kooyalaaraa mubaarakapur
kuseenagar, 204praa0 paa0 semaraa ,semaraa ,semaraa,praa paa semaraa,praaepaa semaraa
chithrakoot, 307praathamik vidyaalay lakhanapur ,rookamaabujurg ,rookamaabujurg,praathamik lakhanapur,lakhanapur
goondaa, 259praaimaree paathasaalaa ramaeepur poorethaaluukedaar ,thyooraasee ,thyooraasee,praaimaree paathasaalaa ramaeepur poorethaaluukedaar,praaimaree paathasaalaa ramaeepur prethaalukedaar
bhadoohee, 288joo0ahaa0 skool chakamaanadhaathaa k0asam0-1 ,chakamaanadhaathaa ,chakamaanadhaathaa,joo ahaa skool chakamaanadhaathaa k asam,joo ahaa skool chakamaanadhaathaa
mujaphpharanagar, 223praathamik vidyaalay rathanapuree uththaree bhaag k0anam0-2 ,rathanapuree ,rathanapuree,praathamik rathanapuree k anam,rathanapuree
vaaraanasee, 63praa൦paanparajanapur k൦s൦൯ ,parajanapur ,parajanapur,praapaanparajanapur ks,praa paa parajanapur
sambhal, 122praaimaree skool haaphijapur kaksh-൧ ,NA,NA,praaimaree skool haaphijapur kaksh,praaimaree skool haaphijapur
prathaapagadh, 30praa.vi pimjaree ,pijaree ,pijaree,praavi pimjaree,praa avi apoore pimjaree
aajamagadh, 293praa0avi0 banagaamv ,bamnagaamv ,bamnagaamv,praa avi banagaamv,praa avi banagaamv
gaajeepur, 392laghu maa0avi0 naseerapur u.chhoor ,babhanoooulee ,babhanoooulee,laghu maa avi naseerapur uchhoor,laghu amaa avi naseerapur
merath," 199sitee pablik skool aajaad rood, goolaakuaaam ",ALS ,als,sitee pablik skool aajaad rood goolaakuaaam,sitee pablik skool aajaad rood goolaakuaaam
mathuraa, 187janathaa joo0ahaa0askal avairanee k0an൦  १,avairanee ,avairanee,janathaa joo ahaa askal avairanee k an,janathaa joo ahaa askool avaisairanee
aagaraa, 180praa0avi0anagariyaa k.n.1 ,nagariyaa ,nagariyaa,praa avi anagariyaa kn,praa aevi anagariyaa
basthee, 323praathamik vidyaalay belahasaa poorvee ,belahasaa ,belahasaa,praathamik belahasaa,belahasaa
amethee, 329praa0 paa0 jagamalapur kaksh sam01 ,jagamalapur ,jagamalapur,praa paa jagamalapur sam,praa paa jagamalapur
kaanapur dehaath, 231poorv maadhyamik vi0 aalamapur khedaa uththaree kaksh ,aalamapur khedaa ,aalamapur khedaa,poorv vi aalamapur khedaa,vi aalamapur khedaa
kuseenagar, 153praa0apaa0 subudhiyaa khurd ,subudhiyaa khurd ,subudhiyaa khurd,praa apaa subudhiyaa khurd,praa apaa subudhiyaa khurd
mujaphpharanagar," 271praathamik vidyaalay, meeraapur ",meeraapur ,meeraapur,praathamik meeraapur,moulaahedee
mujaphpharanagar, 186islaamiyaa skool saravat kamaraa nambar  ३,mujaphpharanagar ,mujaphpharanagar,islaamiyaa skool saravat kamaraa nambar,islaamiyaa skool saravat
aajamagadh, 116janathaa i0 kaa0 haraiyaa kaksh sam0  1,haraiyaa ,haraiyaa,janathaa i kaa haraiyaa sam,janathaa i kaa haraiyaa
kheeree, 70patanaa ,patanaa ,patanaa,patanaa,praa apaa patanaa
mujaphpharanagar, 93roopaa m൉antesaree jooniyar haaee skool krishnaapuree dakshinee paschim mem kamaraa nambar  3,mujaphpharanagar ,mujaphpharanagar,roopaa mantesaree jooniyar haaee skool krishnaapuree paschim mem kamaraa nambar,roopaa maantesaree joo ahaa skool krishnaapuree
chithrakoot, 218praathamik vidyaalay baamdhee kamaraa n൦  २,laamaakool ,laamaakool,praathamik baamdhee kamaraa n,baamdhee
unnaav, 120praa0apaa0 chandoulee khurd ,chandoulee khurd ,chandoulee khurd,praa apaa chandoulee khurd,praaepaa chandoulee khurd
mirjaapur, 300praa0 vi0 sinan‍dhouraa ,sinan‍dhooraa ,sinandhooraa,praa vi sinandhouraa,praa vi sindhouraa
bijanour, 210praa0 vi0 rasoolapur prathee kaksh  4,rasoolapur pirathee ,rasoolapur pirathee,praa vi rasoolapur prathee,praa vi rasoolapur prathee
aagaraa, 55praa0avi0 badaa gaamv (sikatharaa k.n.1 ,sikatharaa ,sikatharaa,praa avi badaa sikatharaa kn,praa aevi badaa sikatharaa
kannouj, 106joo0ahaa0 skool boochapur ,NA,NA,joo ahaa skool boochapur,praaepaa pathniyaa boochapur
barelee, 155Slo haa൦ skool kulchhaa k൦nam൦  1,Heol ,heol,155slo haa skool kulchhaa knam,jooahaaaskool kulchhaa
raay barelee, 87karanapur ,karanapur ,karanapur,karanapur,praanavi kundanagamj karanapur
bulandasahar, 329chanderoo jooniyar haaee skool k.n൑  3,chanderoo ,chanderoo,chanderoo jooniyar haaee skool kn,chanderoo jooniyar haaeeskool
kheeree, 146bhoolanapur m0 bhid഼ouree ,bhid഼ouree ,bhidouree,bhoolanapur m bhidouree,praaepaa bhoolanapur m bhidouree
peeleebheeth, 257pooranapur dehaath ,pooranapur graameen ,pooranapur graameen,pooranapur dehaath,joo haa skool indraanagar pooranapur dehaath
haapud, 116patel maantesaree haa0askool haapud k0an0  2,haapashud ,haapashud,patel maantesaree haa askool haapud k an,patel maantesaree haa askool haapud
goondaa, 202praa0 paa0 pisaiyaa ,pisaiyaa ,pisaiyaa,praa paa pisaiyaa,praa paa pisaiyaa
phaijaabaad, 385praathamik vidyaalay pousaraa dakshinee ,pousaraa maajhhaa ,pousaraa maajhhaa,praathamik pousaraa,pousaraa
amethee, 69praa0 paa0 bhanoulee kaksh sam01 ,bhanoulee ,bhanoulee,praa paa bhanoulee sam,praa paa bhanoulee
haradooee, 229praa0apaa൦ maharepur k0an൦  १,maharushur ,maharushur,praa apaa maharepur k an,praapaa maharepur
haatharas, 109praa0 paa0 gouhaanaa k0anam0  01,gouhaanaa ,gouhaanaa,praa paa gouhaanaa k anam,praaepaa gouhaanaa
kaanapur nagar, 264visambhar naath u.maa.vi rathanalaal nagar kaksh sam  ९,kaanapur ,kaanapur,visambhar naath umaavi rathanalaal nagar sam,visambhar naath umaavi rathanalaal nagar
lakhanaoo, 201praa.vi mubaarakapur kaksh sam0-1 ,bakhsee kaa thaalaab ,bakhsee kaa thaalaab,praavi mubaarakapur sam,praavi mubaarakapur
ilaahaabaad, 206praathamik vidyaalay belahaa ,belahaa ,belahaa,praathamik belahaa,vidayaalay belahaa
soonabhadr," 274mithaalee klab praa0avi0 renukoot, k0anam0  ३",jookaahee ,jookaahee,mithaalee klab praa avi renukoot k anam,mithaalee klab renookoot yoonit
haradooee, 284praa൦ paa൦ akabarapur ,akabarapur ,akabarapur,praa paa akabarapur,praa paa akabarapur
muraadaabaad, 130praa0 skool sapheelapur kaksh-1 ,sapheelapur ,sapheelapur,praa skool sapheelapur kaksh,praa skool sapheelapur
prathaapagadh, 159praa൦ vi൦ sahijanapur ,sahijanapur ,sahijanapur,praa vi sahijanapur,praagavi sahijanapur
jhhaamsee, 304sarasvathee sisu mamdir deenadayaal nagar bhaag-൪ ,jhhaaഁasee ,jhhaaasee,sarasvathee sisu mamdir deenadayaal nagar bhaag,sarasvathee sisu mamdir haa skool deenadayaalanagar
haapud, 264praathamik vidhaalay pipalaihadaa kamaraa n0  1,peepalahaid഼aa ,peepalahaidaa,praathamik vidhaalay pipalaihadaa kamaraa n,vidhaalay pipalaihadaa
lakhanaoo, 22raamapaal thrivedee i0akaa0agoosaaeegamj kaksh sam0-൩ ,goosaaeegamj ,goosaaeegamj,raamapaal thrivedee i akaa agoosaaeegamj sam,raamapaal thrivedee i kaa goosaaeegamj
muraadaabaad, 288lakshmee naaraayan leelaa kshethreey sarasvathee sikshaa mandir i0 k൉alej kaksh-1 ,muraadaabaad ,muraadaabaad,lakshmee naaraayan leelaa kshethreey sarasvathee sikshaa i kalej kaksh,lakshmee naaraayan leelaa kshethreey sarasvathee vidhaa
mirjaapur, 298praa0avi0 kanavahee ,kanavahaa ,kanavahaa,praa avi kanavahee,praa aevi kanavahee
phathehapur, 219praa0 vi0 padaree ,padaree ,padaree,praa vi padaree,praa vi padaree
aagaraa, 106praa.vi.ghamsapuraa ,saraindaa ,saraindaa,praavighamsapuraa,praavi ghriaaaasapuraa
kuseenagar, 187praaimaree paathasaalaa sakhavaniyaa bujurg kaksh n  01,sekhavaniyaa bujurg ,sekhavaniyaa bujurg,praaimaree paathasaalaa sakhavaniyaa bujurg,praaimaree paathasaalaa sakhavaniyaa bujurg khaan toolaa
sambhal, 228praathamik skool khaanapur bamd kaksh  2,khaanapur band ,khaanapur band,praathamik skool khaanapur bamd,skool khaanapur band
peeleebheeth, 263pooranapur dehaath ,pooranapur graameen ,pooranapur graameen,pooranapur dehaath,daa raa am aloo kaalej pooranapuranagarapaalikaa
kaanapur nagar, 240praa skool piparagavaam k0asam0  1,piparagavaam ,piparagavaam,praa skool piparagavaam k asam,skool piparagavoom
ilaahaabaad, 46praathamik vidyaalay semaraa veerabhaanapur bhaag-2 ,semaraabirabhaanapur ,semaraabirabhaanapur,praathamik semaraa veerabhaanapur bhaag,vidayaalay semaraa virabhaanapur
gaajiyaabaad, 223deharaadoon p0 skool samjayanagar ,gaajiyaabaad ,gaajiyaabaad,deharaadoon p skool samjayanagar,deharaadal p skool samjayanagar
goutham buddh nagar, 277praa0 paa0 baroulaa k0 AO  3,NA,NA,praa paa baroulaa k ao,praae apaa baroulaa
kaanapur dehaath, 291praathamik paathasaalraa lakshmanapur pilakh kan൦sam൦൨ ,lakshmanapur pilakh ,lakshmanapur pilakh,praathamik paathasaalraa lakshmanapur pilakh kansam,paathasaalaa lakshmanapur pilakh
kannouj, 283praa0apaa0 devapuraapur ,devapuraapur ,devapuraapur,praa apaa devapuraapur,praae apaa devapuraapur
pharrookhaabaad, 55naraayanapur ,pharoomkhaabaad ,pharoomkhaabaad,naraayanapur,praaimaree paathasaalaa naraayanapur
barelee, 28praa൦ paa൦ varour HOA? ,varour ,varour,praa paa varour hoa,praa paa varour
baagapath, 224praaeemaree paathasaalaa n.-1 kamaraa n01 daahaa ,daahaa ,daahaa,praaeemaree paathasaalaa n kamaraa n daahaa,praaeemaree paathasaalaa n daahaa
gaajeepur, 266praa0avi0 mahaajan toolee ,gaajeepur ,gaajeepur,praa avi mahaajan toolee,praaevi mahaajan toolee
chandoulee, 407mahendr teknikal intar kaale?>aiej chandoulee k൦as൦4 ,chandoulee ,chandoulee,mahendr teknikal intar kaaleaiej chandoulee kas,mahendr teknikal intar kaalej chandoulee
sambhal, 232dee0ae0avee0ai0akaa0ak0an03 gunnour ,gunnour ,gunnour,dee ae avee ai akaa ak an gunnour,deeaeaveeaiamakaan apam gunnour
mahaaraajagamj, 250praa0avi0 mahammadaa k0anam0  3,mahammadaa ,mahammadaa,praa avi mahammadaa k anam,praa avi mahammadaa
bijanour, 135praa0avi0 kisoorapur kaksh nam0-1 ,kisoorapur ,kisoorapur,praa avi kisoorapur nam,praaevi namgalaa ubhbhan
barelee, 305sree avanthee baaee goopaal raam joo൦ahaa൦ skool gamgaapu  20%k0anam൦  २,barelee ,barelee,sree avanthee baaee goopaal raam jooahaa skool gamgaapu k anam,sree avanthee baaee goopaal raam joo haa skool gamgaapur
mainapuree, 93praa paa deveedaasapur ,auamg ,auamg,praa deveedaasapur,deveedaasapar
phathehapur, 210praa0avi0 chacheedaa kaksh sam0-1 ,chacheed഼aa ,chacheedaa,praa avi chacheedaa sam,praa avi chacheedaa
aajamagadh, 41kanyaa praa0apaa0 amiloo kaksh sam0-൨ ,amiloo ,amiloo,kanyaa praa apaa amiloo sam,kanyaa praa apaa amiloo
ilaahaabaad, 223praathamik vidyaalay simghaapur ,simghaapur ,simghaapur,praathamik simghaapur,vidayaathray simghaapur
kuseenagar, 44kanyaa praa0apaa൦ goobarahaa athirikth kaksh ,amavaa khaas ,amavaa khaas,kanyaa praa apaa goobarahaa,kanyaa praa apaa goobarahaa
lakhanaoo, 267poorv maadhyamik vidyaalay maathee kaksh-2 ,Ald ,ald,poorv maathee kaksh,maathee
sahaaranapur, 52praathamik vidhaalay kamaraa nambar  3landhouraa goojar ,lamdhouraa gujjar ,lamdhouraa gujjar,praathamik vidhaalay kamaraa nambar landhouraa goojar,vidhaalay landhouraa goojar
aagaraa, 230praa0avi0 gagaaouraa k.n.1 ,gamgouraa ,gamgouraa,praa avi gagaaouraa kn,praa aevi gagouraa
seethaapur, 264baraathaghar nevaadaa ,nanasoohaa ,nanasoohaa,baraathaghar nevaadaa,nevaadaa baraathaghar
bijanour, 326praa0avi൦ purainee darvesapur dvitheey ,purainee durvesapur ,purainee durvesapur,praa avi purainee darvesapur dvitheey,ji ap apraa askool purainee durvesapur
sulthaanapur, 253praa൦ paa0 umaraa kaksh sam൦൯ ,umaraa ,umaraa,praa paa umaraa sam,praanpaa umaraa
gaajiyaabaad, 703praa0 vi0 karahaidaa ,gaajiyaabaad ,gaajiyaabaad,praa vi karahaidaa,praa vi karahaidaa
jhhaamsee, 48praa.vidyaalay baroudaa-1 ,baroodaa ,baroodaa,praavidyaalay baroudaa,praaevi baroodaa
gaajeepur, 185praa0apaa0 saraay dhanes poo.chhoor ,bairakh mu.saraay dhanes ,bairakh musaraay dhanes,praa apaa saraay dhanes poochhoor,praaepaa saraay dhanes
bijanour, 76praa0 vi0 aleepur namgalaa kaksh  1,aleepur namgalaa ,aleepur namgalaa,praa vi aleepur namgalaa,praa vi aleepur namgalaa
saahajahaaapur, 29praa0askool madanapur ,saidaapur madanaapur ,saidaapur madanaapur,praa askool madanapur,praa askool madanapur
bulandasahar, 395mavaee praaeemaree skool k0 nam0-1 ,Aas ,aas,mavaee praaeemaree skool k nam,mavaee praaimaree skool
bijanour, 58praaevi0aalaadeenapur bhatapuraa ,alaadeenapur bhatapuraa ,alaadeenapur bhatapuraa,praaevi aalaadeenapur bhatapuraa,praaevi aalaadeenapur bhatapuraa
unnaav, 195joo0ahaa0askool poorabahaar urph n‍yoothanee k0asam0  3,nan‍yoothanee ,nanyoothanee,joo ahaa askool poorabahaar urph nyoothanee k asam,joo ahaa asakal poorabahaar urph nyoothanee
haradooee, 277praa൦ paa൦ mithanaapur ,NA,NA,praa paa mithanaapur,praaepaa mithanaapur
baliyaa, 165praa0 paa0 kaithavalee m0 ,akhithayaarapur ,akhithayaarapur,praa paa kaithavalee m,praaepaa kaithavalee
aajamagadh, 175praa0avi0 sathiyaamv kaksh sam0-൨ ,sathiyaamv ,sathiyaamv,praa avi sathiyaamv sam,praa aevi sathiyaamv
barelee, 267praa൦ paa൦ gulamdiyaa k൦ nam൦  2,guladiyaa ,guladiyaa,praa paa gulamdiyaa k nam,praa paa guladiyaa
kaasagamj, 265praa0apaa0 evam pamchaayath ghar patharekee paschim ,NA,NA,praa apaa patharekee paschim,praaepaa patharekee
peeleebheeth, 57chaamdapur ,chaamdapur ,chaamdapur,chaamdapur,praa skool chadapur
basthee, 354jooniyar haaeeskool deeedeehaa bujurg ,mahalaanee bujurg ,mahalaanee bujurg,jooniyar haaeeskool deeedeehaa bujurg,jooniyar haaee skool deeedeehaa bujurg
jaaloun, 177jooniyar haaee skool sirasaa doogadh഼ee room nambar  1,sirasaa doogadh഼ee ,sirasaa doogadhee,jooniyar haaee skool sirasaa doogadhee nambar,jooniyar haaee skool sirasaa doogadhee
saahajahaaapur, 24praa0askool vaaraakhurd athirikth kaksh ,vaaraakhurd ,vaaraakhurd,praa askool vaaraakhurd,praa askool vaaraakhurd
baaraabamkee, 175praa0avi0 thinan‍doolaa kaksh sam0  2,thindoolaa ,thindoolaa,praa avi thinandoolaa sam,praa avi thindoolaa
baharaaich, 123praa൦avi൦-odahaa rehavaa mamsoor k൦anam൦-൧ ,begamapur ,begamapur,praaaviodahaa rehavaa mamsoor kanam,praanaviodahaa rehavaa mamsar
etaa, 176praae0apaa൦ javaahar nagar rajabapur ,rajavapur ,rajavapur,praae apaa javaahar nagar rajabapur,praaepaa javaahar nagar
kheeree, 340bhavaaneegamj m0alandanapur grant ,lan‍danapur grant ,landanapur grant,bhavaaneegamj m alandanapur grant,praa paa bhavaaneegamj m landanapur grant
aagaraa, 64praaevi0adheemarapuraa k.n.1 ,sekhupur ,sekhupur,praaevi adheemarapuraa kn,praa aevi adheemarapuraa
sulthaanapur, 360praa0avi0 parigadaa kaksh sam02 ,achalapur ,achalapur,praa avi parigadaa sam,praa avi parigadaa
seethaapur, 273praa0 vi0 jaalimapur madoor k0 nam0  २,jaalimapur madoor ,jaalimapur madoor,praa vi jaalimapur madoor k nam,praa vi jaalimapur madoor
lakhanaoo, 83pamchaayath ghar kamaaluddeen nagar kaksh sam0-1 ,kamaaludadeen nagar ,kamaaludadeen nagar,pamchaayath kamaaluddeen nagar sam,kamaaluddeen nagar
mathuraa, 338praa0avi0 jaavalee k0anam0  1,jaavalee ,jaavalee,praa avi jaavalee k anam,praa vi jaavalee
aajamagadh, 298praa0avi0 koothiyaa jahaamgeerapur ,kootiyaa jahaamgeer ,kootiyaa jahaamgeer,praa avi koothiyaa jahaamgeerapur,praa avi koothiyaa jahaamgeerapur
kuseenagar, 266praa0apaa൦ parasoun kaksh nam0൧ ,parasoun ,parasoun,praa apaa parasoun nam,praaepaa parasoooun
phathehapur, 192praa0 vi0 ramavaa panthuvaa pratham ,ramavaa ,ramavaa,praa vi ramavaa panthuvaa pratham,praa vi pratham ramavaa pannthuvaa
baagapath, 237praaeemaree paathasaalaa nam൦1 raajapur ,raajapur khaamapur ,raajapur khaamapur,praaeemaree paathasaalaa nam raajapur,praaeemaree paathasaalaa nam raajapur
goorakhapur, 15praa0avi0ajavainihaa ,moogalahaa ,moogalahaa,praa avi ajavainihaa,praa avi javainihaa
kuseenagar, 363praa൦ paa൦ bhathavaam ,bhathavaa ,bhathavaa,praa paa bhathavaam,praa paa bhatavaa
jhhaamsee, 280praa0avi0 khamaa ,Gar ,gar,praa avi khamaa,praa avi khamaa
gaajeepur, 175praa0 paa0 didoohar ,didoohar ,didoohar,praa paa didoohar,praaepaa didoohar
soonabhadr, 230praathamik vidyaalay ghooriyaa kaksh sam0  २,ghooriyaa ,ghooriyaa,praathamik ghooriyaa sam,ghooriyaa
merath, 435uchch praa0avi0 soulaanaa k0anam0-1 ,soulaanaa ,soulaanaa,uchch praa avi soulaanaa k anam,praa vi soulaanaa
vaaraanasee, 63praaepaa0 jamaalapur ,jamaalapur ,jamaalapur,praaepaa jamaalapur,praaepaa jamaalapur
merath, 263uchch praathamik vidhaalay k0an0  -1samayapur ,samayapur ,samayapur,uchch vidhaalay k an samayapur,vi samayapur
kannouj, 118praa0 paa0 nagalaa aamgad ,dadounaa ,dadounaa,praa paa nagalaa aamgad,praaepaa nagalaa aamgad
basthee, 421praathamik vidyaalay ajagaivaa jamgal arjun beeroo (sukaroulee ,ajagaivaa jamgal ,ajagaivaa jamgal,praathamik ajagaivaa jamgal arjun beeroo sukaroulee,ajagaivaa jamgal toolaa arjun beeroo
vaaraanasee, 19kamalaakar choube aadars sevaa vi0ai0akaa0 eesvaragamgee HOG.’ ,vaaraanasee ,vaaraanasee,kamalaakar choube aadars sevaa vi ai akaa eesvaragamgee hog,kamalaakar choube aadars sevaa i akaa
baharaaich, 286praa0avi൦-raayapur k0anam൦-൧ ,raayapur ,raayapur,praa aviraayapur k anam,poo amaa aviraayapur
kuseenagar, 60praa0apaa0anouthaar jamgal kaksh-1 ,nouthaar jamgal ,nouthaar jamgal,praa apaa anouthaar jamgal kaksh,praaepaa nouthaar jamgal
phiroojaabaad, 278rahamaaniyaa i൦akaa൦ habeevagamj k൦n൦  4,phiroojaabaad ,phiroojaabaad,rahamaaniyaa iakaa habeevagamj kn,rahamaaniyaa i kaalej habeebagamj
baliyaa, 313praa0apaa0 khadasaraa h0ab0 ,khad഼asaraa ,khadasaraa,praa apaa khadasaraa h ab,praa paa khadasaraa h ab
chandoulee, 391raa൦0achou൦ahaa0ase0askool majhhagaamvaa kaksh sam൦-1 ,majhhagaavaam ,majhhagaavaam,raa achouahaa ase askool majhhagaamvaa sam,raaachou ahaa ase skul majhhagaamvaa
basthee, 84des raaj naaramg intar kaalej vaaltaragamj ,sreepaalapur ,sreepaalapur,84des raaj naaramg intar kaalej vaaltaragamj,des raaj naaramg intar kaalej vaaltaragamj
aagaraa, 275praa0 vi0 muvaarijapur k0 nam0  1,muvaarijapur ,muvaarijapur,praa vi muvaarijapur k nam,praa vi muvaarijapur
ilaahaabaad, 359praathamik vidyaalay munthajeepur p0 bhaag ,saidapur ,saidapur,praathamik munthajeepur p,munthajeepur
muraadaabaad, 309praa0askool mainaather kaksh-1 ,mainaather ,mainaather,praa askool mainaather kaksh,praa skool mainaather
ilaahaabaad, 69goomathee intar kaalej phoolapur uththaree madhy bhaag ,phoolapur ,phoolapur,goomathee intar kaalej phoolapur madhy,goomathee intar kaalej phoolapur
peeleebheeth, 153laah ,ale ,ale,laah,praa skool laah
baliyaa, 177praa0 paa0 kevataliyaa kalaa ,kevataliyaa kalaa ,kevataliyaa kalaa,praa paa kevataliyaa kalaa,praaepaa kevataliyaa kalaa
baamdaa, 293poo0amaa0avi0 chhiloolar kaksh sam0-3 ,chhiloolar ,chhiloolar,poo amaa avi chhiloolar sam,poo maa vi chhiloolar
amethee, 14praa0 paa0 duvariyaa kaksh sam൦  2,gaajanapur duvariyaa ,gaajanapur duvariyaa,praa paa duvariyaa sam,praa paa duvariyaa
saahajahaaapur, 176praae0apaa0 varaa oorph salanahaa ,varaa urph salanahaa ,varaa urph salanahaa,praae apaa varaa oorph salanahaa,praaepaa varaa oorph salanahaa
baaraabamkee, 361praa൦avi൦anyouഁamchhanaa ,manoorathapur ,manoorathapur,praaavianyouamchhanaa,praanavianyouchhanaa
itaavaa, 402praa0apaa0 dabahaa bhatapuraa ,bhatapuraa ,bhatapuraa,praa apaa dabahaa bhatapuraa,praae apaa dabahaa bhatapuraa
kaasagamj, 356poorvooththar relave maadhyamik vidyaalay kaasagamj k0 nam0  १,kaasagamj ,kaasagamj,poorvooththar relave kaasagamj k nam,poo ar aemaa avi kaasagamj
mujaphpharanagar, 309jooniyar haaee skool kamaraa nambar  1thugalakapur ,thugalakapur ,thugalakapur,jooniyar haaee skool kamaraa nambar thugalakapur,jooniyar haaee skool thugalakapur
baaraabamkee, 174poo.maa.vi saraahee k.n.2 ,saraahee ,saraahee,poomaavi saraahee kn,poomaavi saraahee
unnaav, 176praaimaree paathasaalaa rathaeepuravaa paschim m൦ bhikhaareepur pathasiyaa ,bhikhaareepur pathasiyaa ,bhikhaareepur pathasiyaa,praaimaree paathasaalaa rathaeepuravaa paschim m bhikhaareepur pathasiyaa,praanpaa rathaeepur m bhikhaareepur gair eh
mainapuree, 326bhaaratheey i0akaa0 bevar kaksh sam0  1,bevar ,bevar,bhaaratheey i akaa bevar sam,bhaaratheey d akaa bevar
unnaav, 5praa0apaa0 prathaapakhedaa m0 purathyaamvaa k0as0  2,purathyaavaam ,purathyaavaam,praa apaa prathaapakhedaa m purathyaamvaa k as,praa apaa prathaapakhedaa m purathyaamvaa
aagaraa, 220muraaree laal garls i൦ kaa൦ baag mujaphphar khaan k൦ n൦  १,aagaraa ,aagaraa,muraaree laal garls i kaa baag mujaphphar khaan k n,muraaree laal garls daikaa baag mujaphph khaan
chandoulee, 68praa൦paa൦visunapuraa kaksh sam൦-൨ ,visunapuraa ,visunapuraa,praapaavisunapuraa sam,praaepaa visunapuraa
aajamagadh, 112praa0avi0 khamhoulee kaksh-2 ,khamhoomlee ,khamhoomlee,praa avi khamhoulee kaksh,praaevi khamhoulee
phiroojaabaad, 418praa.paa utharaaraa k൦n൦൨ ,utharaaraa ,utharaaraa,praapaa utharaaraa kn,praa paa utharaaraa
kousaambee, 182praa.vi nagarehaa kalaa ,nagarehaa kalaa ,nagarehaa kalaa,praavi nagarehaa kalaa,praavi nagarehaa kalaa
aajamagadh, 246joo0ahaa0 skool jahaanaagamj kaksh sam0-൨ ,musthaphaabaad ,musthaphaabaad,joo ahaa skool jahaanaagamj sam,joo ahaa skool jahaanaagamj
aleegadh, 364praaimaree skool ratharooee maajaraa majhhoolaa kann൦1 ,majhhoolaa ,majhhoolaa,praaimaree skool ratharooee maajaraa majhhoolaa kann,praaimaree skool ratharooee maajaraa majhhoolaa
badaayoom, 42jaithapur praa vi k nam.-൧ ,jaithapur ,jaithapur,jaithapur nam,jaithapur
raay barelee, 45durjanapur ,darjanapur ,darjanapur,durjanapur,praa apaa durjanapur
haapud, 351praa0avi0 siroodhan k0an0  1,siroodhan ,siroodhan,praa avi siroodhan k an,praa aevi siroodhan
gaajeepur, 3praa0apaa0 tisouree ,tisouree ,tisouree,praa apaa tisouree,praaepaa tisouree
aagaraa, 325poo0 maa0 vi0 atoos k0 nam0  1,ats ,ats,poo maa vi atoos k nam,poo maa vi atoos
kannouj, 18praa0apaa0 saisaarapur d0 bhaag ,RAW ,raw,praa apaa saisaarapur d,praa apaa saimsaarapur
merath, 184praa0avi0 k0an0  -3pachapedaa ,pachapedaa ,pachapedaa,praa avi k an pachapedaa,praa avi apachapedaa
jhhaamsee, 275praa0 vi0 simaraavaaree bhaag-1 ,simaraavaaree ,simaraavaaree,praa vi simaraavaaree bhaag,praa vi simaraavaaree
baamdaa, 114praa൦avi൦ bhaamvarapur aams bilharakaa ,bilharakaa ,bilharakaa,praaavi bhaamvarapur aams bilharakaa,praa vi bhaamvarapur aams bilharakaa
aleegadh, 253praa0 skool goodhaa kamaraa n0  २,goodhaa ,goodhaa,praa skool goodhaa kamaraa n,praa skool goodhaa
santh kabeer nagar, 296joo0ahaa0ask‌al kaamtee ,kakatahee ,kakatahee,joo ahaa askal kaamtee,joo ahaa skool kaamtee
soonabhadr," 37praa0apaa0abeenaa proojekt, kaksh nam0-൨ ",jamaseelaa ,jamaseelaa,praa apaa abeenaa proojekt nam,praa paa beenaa proojekt
sulthaanapur, 283praa0avi0 pathniyaa devaapur kaksh sam0  1,paliyaa devaapur ,paliyaa devaapur,praa avi pathniyaa devaapur sam,praa avi palathniyaa devaapur
haradooee, 264praa൦apraa൦ jagasaraa ,jagasaraa ,jagasaraa,praaapraa jagasaraa,praanpaa jagasaraa
jaaloun, 254praaimaree skool baalak goohanee ,goohanee ,goohanee,praaimaree skool baalak goohanee,praaimaree skool baalak goohanee
maoo, 169praa0apaa0 surajapur p0 bhaag ,surajapur ,surajapur,praa apaa surajapur p,praaepaa surajapur
pharookhaabaad, 369nagar pamchaayath samasaabaad ,samasaabaad ,samasaabaad,nagar samasaabaad,chandr kumaaree jvaalaa samkar raayajaadaa baalikaa en ottt ttt
chandoulee, 148praa൦ paa൦ maharoudaa kaksh sam൦  २,maharoud഼aa ,maharoudaa,praa paa maharoudaa sam,praa paa maharoudaa
bijanour, 273praa0avi0 mukarrabapur ,phiroojapur ,phiroojapur,praa avi mukarrabapur,praaevi mukarrabapur
baaraabamkee, 130praanvi൦ saraay paandey p൦abhaag ,saraamy paandey ,saraamy paandey,praanvi saraay paandey pabhaag,praavi saraay paandey
