district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
seekar,109 4.97.sreemaadhoopur,n.paa sreemaadhoopur,npaa sreemaadhoopur,sreemaadhoopur,raajakeey jaalapaalee sreemaadhoopur baayaam
baadamer,289paatoudee,paatoudee,paatoudee,paatoudee,raajakeey aadars paatoudee
siroohee,mathadaan kendr kaa bhavan evam pathaa  :,aaboorood,aaboorood,NA,luniyaapuraa
hi jayapur,176kavamrapuraa,०kamvarapuraa,kamvarapuraa,kavamrapuraa,raajakeey kavamrapuraa
paalee,293ATT,gaamv naanaa,gaamv naanaa,293att,graam naanaa
h baaraa,27moondalaa,moomdalaa,moomdalaa,moondalaa,raajakeey vidayaalay moomdalaa
kootaa,133bheemagamjamandee,kootaa,kootaa,bheemagamjamandee,thaare seeniyar saikendaree skool bheemagamjamandee kamaraa nam
suajhhunoo,218gadhavaaloo kee dh഼aanee,gadhavaaloo kee dhaanee,gadhavaaloo kee dhaanee,gadhavaaloo dhaanee,raajakeey gadhavaaloom dhaanee
hi suajhhun,71pichaanavaasee,०pichaanavaasee,pichaanavaasee,pichaanavaasee,raaapraavi pichaanavaasee
baadamer,10had഼avechaa,hadavechaa,hadavechaa,hadavechaa,raajakeey maadyamik hadavechaa
alavar,16paatan,aadukaa,aadukaa,paatan,raajakeey paatan
baadamer,89raamaasariyaa,raamaasariyaa,raamaasariyaa,raamaasariyaa,raajakeey raamaasariyaa
8savaaeemaadhoopur,8phalasaavataa,phalasaavataa,phalasaavataa,phalasaavataa,raajakeey phalasaavataa
udayapur,141bhuvaanaa,bhuvaanaa,bhuvaanaa,bhuvaanaa,raajakeey bhuvaanaa kamaraa
alavar,140bhareethal,Bharithal,bharithal,bhareethal,raajakeey bhareethal
naagour,207caterararay,०raasaliyaavaas,raasaliyaavaas,caterararay,raajakeey raasaliyaavaas
beekaaner,92sreedoomgaragadh,sree doomgaragadh഼,sree doomgaragadh,sreedoomgaragadh,raajakeey baalikaa daayaam sreedoomgaragadh
dousaa,214gaamvadee,gaavamdee,gaavamdee,gaamvadee,raajakeey gaamvadee
baadamer,388uparalaa,uparalaa,uparalaa,uparalaa,raajakeey uparalaa daayaa
h paalee,59giravar,Girwar,girwar,giravar,raajakeey giravar
baadamer,203devaaniyoom kee dhaanee,०devaaniyoom kee dhaanee,devaaniyoom kee dhaanee,devaaniyoom dhaanee,raajakeey devaaniyoom dhaanee
h beekaaner,167h൒adaam sarah thoomalee  ०,Sharah Thoomli,sharah thoomli,hadaam sarah thoomalee,raajakeey xs tout
raajasamand,194sakaraavaas (baamyaa bhaag,sakaraavaas,sakaraavaas,sakaraavaas baamyaa,raajakeey aadars vidyaal sakaraavaas baamyaa
bharathapur,212pal‍laa,Palla,palla,pallaa,raajakeey pallaa
suajhhunoo,7himmathapuraa,himmathapuraa,himmathapuraa,himmathapuraa,raajakeey himmathapuraa
baadamer,6beemjaasar,beemjaasar,beemjaasar,beemjaasar,raajakeey
alavar,203brishamgapur,Brisangpur,brisangpur,brishamgapur,raajakeey boosamgapur
naagour,203kucheraa,kucheraa,kucheraa,kucheraa,raajakeey baalikaa kucheraa daayaam
gamgaanagar,68 17jaid,172,NA,jaid,raajakeey vidhaalay jed jed kamaraa n
h baaraa,177sakathapur,sakathapuraa,sakathapuraa,sakathapur,raajakeey sakathapur kamaraa nambar
raajasamand,193mukhy gaamv paasoon,paasoon,paasoon,mukhy paasoon,raajakeey sikshaakarmee vidhaalay paasoon
jhhaalaavaad,191booliyaa bujurg,Boliya Bujurg,boliya bujurg,booliyaa bujurg,raajakeey
ajamer,179kalyaanapuraa,kalyaanapuraa,kalyaanapuraa,kalyaanapuraa,raajakeey kalyaanapuraa
alavar,165dhaamkee,dhaakee,dhaakee,dhaamkee,raajakeey dhaakee
bheelavaadaa,187Areaqea,Mohanpura,mohanpura,areaqea,raajakeey aadars kath moohanapuraa
hi jayapur,"144see-skeem,jayapur",jayapur,jayapur,seeskeemjayapur,kaaryaalay raajraajy krishi vipanan boord seeskeem pamth kamaraa nam
alavar,42bhajed഼aa,bhajedaa,bhajedaa,bhajedaa,raajakeey aadars kamaraa bhajedaa
jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,prathaap nagar
baamsavaadaa,226jhharaniyaa,JHARNIYA,jharniya,jhharaniyaa,raajakeey jhharaniyaa
ajamer,1roopanagar,०roopanagar,roopanagar,roopanagar,raajakeey roopanagar kamaraa
kootaa,35saaroolaa,Sarola,sarola,saaroolaa,raajakeey saaroolaa kamaraa nambar
paalee,168biraamee,biraamee,biraamee,biraamee,raajakeey aadars daayaam biraamee
jayapur,139gooner,gooner,gooner,gooner,es tee see skool kamaraa gooner
h baaraa,122naaharagadh,naaharagadh഼,naaharagadh,naaharagadh,raajakeey naaharagadh kamaraa
gamgaanagar,81 6eph e radevaalaa,०6aephae,aephae,eph radevaalaa,raajakeey vidayaalay ephae radevaalaa baamyaa
