sex_std,age,relation_type,n
f,51,NA,326
m,33,other,87
m,25,husband,362
f,53,NA,241
m,21,husband,316
m,25,other,227
f,86,NA,54
m,33,husband,115
m,73,other,6
f,84,NA,43
m,73,husband,17
m,42,husband,43
f,89,NA,9
m,72,husband,11
f,75,NA,75
m,84,husband,5
m,86,husband,2
m,72,other,10
f,69,other,10
m,92,NA,11
f,94,other,1
m,84,other,4
f,93,other,2
m,22,father,624836
f,24,father,148649
f,25,husband,487987
f,61,husband,280830
m,94,father,4929
f,51,husband,407706
m,38,father,428312
m,21,NA,533
f,59,husband,223622
m,76,father,134134
f,53,husband,300777
f,86,husband,70473
f,84,husband,54973
f,60,father,2060
f,49,father,4259
m,98,father,2206
f,28,father,74015
f,41,father,10527
f,44,father,14212
f,37,father,17155
f,75,husband,94385
m,82,father,45946
f,89,husband,21696
f,46,father,12059
f,48,father,4938
f,43,father,7116
f,25,other,694
f,91,father,195
f,77,father,589
f,36,NA,548
f,69,NA,117
f,84,other,5
m,36,husband,82
m,84,NA,34
m,24,NA,819
m,42,NA,343
f,26,NA,868
m,25,NA,797
f,98,father,31
f,39,NA,362
m,33,NA,686
f,86,other,4
m,72,NA,148
m,26,other,189
f,90,father,105
m,64,husband,22
m,37,other,61
f,51,other,34
m,63,other,42
f,61,other,32
m,73,NA,112
f,59,other,26
m,64,other,30
f,53,other,30
m,37,husband,61
m,52,other,56
m,26,husband,267
m,52,husband,38
f,75,other,9
m,36,other,85
m,79,husband,7
m,56,husband,32
f,99,father,37
f,94,NA,12
m,83,other,5
m,86,NA,39
m,63,husband,27
m,56,other,33
m,92,husband,2
m,88,husband,5
m,79,other,6
m,83,husband,4
f,93,NA,10
f,89,other,3
m,88,other,1
f,101,husband,1
m,54,father,350161
f,50,husband,319420
m,23,father,734685
m,31,father,478692
m,46,father,517174
m,55,father,288266
m,58,father,321530
f,55,husband,251690
f,73,husband,118745
m,65,father,169258
f,23,father,177457
m,40,father,313390
m,49,father,370431
f,38,husband,342352
f,68,husband,172944
m,62,father,238577
f,34,father,37163
f,64,husband,214619
f,19,husband,122528
f,72,husband,123949
f,27,father,86472
f,83,husband,57458
m,78,father,78729
f,33,father,28919
f,78,husband,92585
f,74,husband,122082
f,79,husband,65461
f,87,husband,34121
f,45,father,11065
f,29,father,63923
f,85,husband,38244
f,40,father,10262
m,43,NA,339
f,57,father,2597
m,87,father,22343
f,65,father,1449
f,19,other,1593
f,31,NA,737
f,71,father,1273
m,19,other,716
f,54,father,3413
m,19,husband,246
f,30,NA,744
f,47,father,4202
m,32,NA,723
m,30,NA,913
m,35,other,85
f,63,NA,148
f,70,NA,92
m,28,NA,846
m,50,NA,378
m,75,NA,76
f,67,NA,131
f,38,other,92
m,20,NA,856
f,58,NA,239
m,66,other,23
m,51,other,65
m,67,other,23
m,61,NA,308
f,55,other,27
f,73,other,8
f,50,other,34
m,74,other,6
m,35,husband,87
f,76,NA,95
m,89,husband,2
m,74,husband,8
m,66,husband,15
m,70,other,13
m,51,husband,43
f,78,other,7
m,70,husband,13
f,72,other,7
m,67,husband,16
f,97,NA,5
f,83,other,3
f,88,NA,21
f,64,other,14
f,79,other,2
f,68,other,14
m,77,husband,4
m,96,NA,11
m,77,other,6
m,90,husband,1
f,18,husband,22
f,87,other,1
f,74,other,4
m,95,NA,1
f,56,husband,378810
m,24,father,678241
m,25,father,659705
f,42,husband,274541
f,52,husband,327207
m,33,father,483977
m,42,father,313560
m,72,father,118385
f,26,father,95413
m,21,father,403981
f,82,husband,59732
f,80,husband,57960
f,36,father,18564
m,73,father,110172
m,86,father,45665
f,39,father,10926
f,37,NA,466
m,84,father,33337
f,69,father,1079
f,49,NA,262
f,95,husband,8161
f,48,NA,339
m,22,NA,699
f,44,NA,283
f,28,NA,977
f,24,NA,1155
f,41,NA,336
f,52,other,42
m,38,NA,539
f,43,NA,230
f,46,NA,379
f,77,NA,77
m,76,NA,120
f,94,father,78
f,42,other,57
m,48,other,51
f,60,NA,183
m,47,other,51
m,82,NA,65
m,39,other,71
f,93,father,63
m,98,NA,2
m,48,husband,48
m,59,other,27
f,56,other,22
m,71,other,16
m,39,husband,63
m,45,husband,46
m,47,husband,47
m,45,other,57
m,85,husband,10
f,91,NA,22
m,97,husband,1
m,71,husband,7
f,90,NA,9
m,59,husband,30
f,99,NA,6
f,80,other,6
m,68,other,28
m,68,husband,13
m,94,NA,4
f,82,other,5
m,80,other,6
f,98,NA,2
m,85,other,3
m,80,husband,5
f,95,other,2
m,61,father,338632
m,20,father,497552
f,32,husband,374688
m,30,father,544295
m,28,father,621373
f,22,husband,244544
m,32,father,455330
f,66,husband,240120
m,50,father,362436
f,35,husband,435850
f,81,husband,97332
f,21,husband,167368
m,43,father,326434
m,75,father,80878
f,62,husband,205189
f,20,husband,189064
m,96,father,6443
f,30,father,47466
m,57,other,31
f,33,NA,654
f,31,father,41739
f,96,husband,13922
f,92,husband,16819
m,41,other,70
f,20,other,1927
m,95,father,3769
f,27,NA,895
m,53,husband,33
m,34,other,107
f,21,other,1204
f,58,father,2493
m,41,husband,51
m,46,NA,505
f,34,NA,716
f,76,father,1003
f,67,father,1353
f,70,father,1059
m,62,NA,283
m,55,NA,315
f,71,NA,146
f,40,NA,327
f,29,NA,943
m,23,NA,801
f,63,father,1682
f,22,other,1121
m,54,NA,380
m,78,NA,53
f,88,father,215
f,54,NA,277
f,57,NA,218
m,27,husband,231
f,47,NA,227
f,23,NA,1007
f,45,NA,312
m,49,NA,401
m,40,NA,333
m,31,NA,764
m,65,NA,151
m,58,NA,276
f,97,father,47
m,27,other,173
m,29,husband,190
m,87,NA,28
f,65,NA,155
m,29,other,135
m,44,other,46
f,35,other,98
m,53,other,37
m,81,husband,5
m,60,other,33
f,32,other,155
m,60,husband,36
m,34,husband,113
m,44,husband,47
m,57,husband,29
f,62,other,19
f,81,other,4
f,92,other,1
f,66,other,16
m,69,other,13
m,69,husband,10
m,91,other,1
m,81,other,5
m,91,husband,1
m,93,husband,1
